Network Container,Comment,Alignment,Allocation Method,Banner,Building,Block,Country,Delivery Channel,Description,Environment,Location-Suburb,Operational State,Partner,Product Owner,Region,Request Number,Service Owner,Site,Site ID,Site Type,Source Firewall,State,Technical Function,VLAN,VLAN Name,Zone
10.55.220.0/22,,Stores,,LAB,,,Australia,,,,,Allocated,,,,,,TEST LAB 02 - NORWEST,0,BigW,,NSW,LAN,,,
10.55.236.0/22,,Stores,,LAB,,,Australia,,,,,Allocated,,,,,,NORWEST POS TEST LAB,0,BigW,,NSW,LAN,,,
10.55.240.0/22,,Stores,,LAB,,,Australia,,,,,Allocated,,,,,,NORWEST POS TEST LAB,0,BigW,,NSW,LAN,,,
10.56.0.0/16,,,,Woolworths,,,Australia,,Norwest,,,Allocated,,,,,,Norwest,,,,NSW/ACT,,,,
10.57.0.0/16,,,,Woolworths,,,Australia,,Norwest,,,Allocated,,,,,,Norwest,,,,NSW/ACT,,,,
192.168.0.0/16,RFC1918 Private Container,,,Woolworths,,,Australia,,,,,Allocated,,,,,,,,,,,,,,
172.27.247.0/24,NSO Legacy Internet Infrastructure,,,Woolworths,,,Australia,,,,,Allocated,,,,,,,,,,,,,,
10.23.128.0/17,,,,Woolworths,,,,,,,,Allocated,,,,,,CDC,,Non Stores,,,,,,
10.166.128.0/17,Management Block Sourced from behind Mgt Zone Firewalls,,Automated,Corporate,,MGT,Australia,,MGMT,,,Allocated,,,,,,ECDC,6704,Data Centres,,NSW,,,,MGT
10.166.190.0/24,VLAN 1850 - 1889 -  Production Server Management - 10.166.176.0/24 to 10.166.199.0/24,,Automated,Corporate,,MGT,Australia,,,Prod,,,,,,,,ECDC,6704,Data Centres,,NSW,,,,MGT
10.30.128.0/17,Management Block Sourced from behind Mgt Zone Firewalls,,Automated,Corporate,,MGT,Australia,,,,,Allocated,,,,,,EQDC,,Data Centres,,NSW,,,,MGT
10.134.128.0/17,Management Block Sourced from behind Mgt Zone Firewalls,,Automated,Corporate,,,Australia,,,,,Allocated,,,,,,NWDC,1,Data Centres,,NSW,,,,MGT
10.23.0.0/17,NSO GFS,,,,,,Australia,,EFT Switch Prod & Non-Prod Environments,,,Allocated,,,,,,CDC,1,Data Centres,,NSW,,,,PCI
10.24.0.0/17,ECDC GFS,,,,,,Australia,,EFT Switch Prod & Non-Prod Environments,,,Allocated,,,,,,ECDC,6407,Data Centres,,NSW,,,,PCI
10.124.0.0,,,,,,,Australia,,,,,,,,,,,,,,,VIC,Small Site WAN Links & Loopbacks,,,
10.125.0.0,,,,,,,Australia,,,,,,,,,,,,,,,VIC,Small Site WAN Links & Loopbacks,,,
10.116.0.0/16,"EQDC Dell Private Cloud (DPC)
PT046057 / CHM21777396",,,Data Centre,,,Australia,,EQDC - WHS(Woolworths Hosted Systems),,,Allocated,,,,,,EQDC4,,Non Stores,,NSW,,,,
10.122.0.0/16,,,,,,,Australia,,Dell Private Cloud,,,Allocated,,,,,,,,,,ALL,,,,
10.152.0.0/16,"Dell Private Cloud (DPC)
PT046057 / CHM21777396",,,Data Centre,,,Australia,,ECDC - WHS(Woolworths Hosted Systems),,,Allocated,,,,,,ECDC,,Non Stores,,NSW,,,,
10.154.0.0/16,,,,,,,Australia,,Dell Private Cloud,,,,,,,,,,,,,WA,,,,
10.17.0.0/16,CHM21239092,Cloud,,,,,Australia,,Aust EAST  Azure Cloud - Sydney,Prod,,Allocated,,,,,,Azure East,,Cloud,,,,,,
10.29.0.0/16,,,,,,,Australia,,Class B for Azure cloud,,,,,,,,,Cloud services,,Cloud,,NSW,Cloud services,,,
10.18.0.0/16,CHM21766124,,,,,,Australia,,Class B for google cloud Equinix,,,,,,,,,Cloud services,,Cloud,,NSW,,,,
10.15.0.0/22,,,,,,,Australia,,"SAP HEC 07 (PROD, Dev,Test and UAT)",,,,,,,,,Cloud Services,,Cloud,,,,,,
10.16.0.0/16,SVR21107920 - Dec14,,,,,,Australia,,Reserved Class B for Cloud Services - AWS-2,,,,,,,,,CDC,,Cloud,,,,,,
10.116.0.0/16,"EQDC Dell Private Cloud (DPC)
PT046057 / CHM21777396",,,Data Centre,,,Australia,,EQDC - WHS(Woolworths Hosted Systems),,,Allocated,,,,,,EQDC4,,Non Stores,,NSW,,,,
10.152.0.0/16,"Dell Private Cloud (DPC)
PT046057 / CHM21777396",,,Data Centre,,,Australia,,ECDC - WHS(Woolworths Hosted Systems),,,Allocated,,,,,,ECDC,,Non Stores,,NSW,,,,
10.32.0.0/12,Container - NSW Supermarket LAN,Stores,,,,,Australia,,"NSW/ACT Store LAN /22 Networks: SMKT, DM, BWS",,,Allocated,,,,,,,,,,NSW,LAN,,,
10.64.0.0/13,Container - QLD Supermarket LAN,Stores,,,,,Australia,,,,,Allocated,,,,,,,,,,QLD,LAN,,,
10.96.0.0/13,Container - VIC/TAS Supermarket LAN,Stores,,,,,Australia,,"VIC/TAS Store LAN /22 Networks: SMKT, DM, BWS",,,Allocated,,,,,,,,,,VIC,LAN,,,
10.108.0.0/15,Container - VIC/TAS Supermarket LAN,Stores,,,,,Australia,,"VIC/TAS Store LAN /22 Networks: SMKT, DM, BWS",,,Allocated,,,,,,,,,,VIC,LAN,,,
10.128.0.0/14,Container - WA Supermarket LAN,Stores,,,,,Australia,,"WA Store LAN /22 Networks: SMKT, DM, BWS",,,Allocated,,,,,,,,,,WA,LAN,,,
10.132.0.0/16,Container - WA Supermarket LAN,Stores,,,,,Australia,,"WA Store LAN /22 Networks: SMKT, DM, BWS",,,Allocated,,,,,,,,,,WA,LAN,,,
10.160.0.0/14,Container - SA/NT Supermarket LAN,Stores,,,,,Australia,,"SA/NT Store LAN /22 Networks: SMKT, DM, BWS",,,Allocated,,,,,,,,,,SA,LAN,,,
10.164.0.0/15,Container - SA/NT Supermarket LAN,Stores,,,,,Australia,,"SA/NT Store LAN /22 Networks: SMKT, DM, BWS",,,Allocated,,,,,,,,,,SA,LAN,,,
10.224.0.0/15,Container - TAS Supermarket LAN,Stores,,,,,Australia,,"TAS Store LAN /22 Networks: SMKT, DM, BWS",,,Allocated,,,,,,,,,,TAS,LAN,,,
10.83.0.0/16,Container - BWS Attached Store LAN,Stores,,BWS-Attached,,,Australia,,Project SWAN,,,Allocated,,,,,,,,,,,LAN,,,
10.147.0.0/16,Container - BWS Attached Store LAN,Stores,,BWS-Attached,,,Australia,,Project SWAN,,,Allocated,,,,,,,,,,,LAN,,,
10.148.0.0/16,Container - BWS Attached Store LAN,Stores,,BWS-Attached,,,Australia,,Project SWAN,,,Allocated,,,,,,,,,,,LAN,,,
10.179.0.0/16,Container - BWS Attached Store LAN,Stores,,BWS-Attached,,,Australia,,,,,Allocated,,,,,,,,,,,LAN,,,
10.243.0.0/16,Container - BWS Attached Store LAN,Stores,,BWS-Attached,,,Australia,,Project WAN,,,Allocated,,,,,,,,,,,LAN,,,
10.55.0.0/16,Container - NSW BigW Store LAN,Stores,,BigW,,,Australia,,NSW/ACT BigW Store LAN /22 Networks,,,Allocated,,,,,,,,,,NSW,LAN,,,
10.59.128.0/17,Container - NSW/ACT BigW Store LAN,Stores,,BigW,,,Australia,,NSW/ACT BigW Store LAN /22 Networks,,,Allocated,,,,,,,,,,NSW,LAN,,,
10.87.0.0/16,Container - QLD BigW Store LAN,Stores,,BigW,,,Australia,,QLD BigW Store LAN /22 Networks,,,Allocated,,,,,,,,,,QLD,LAN,,,
10.119.0.0/16,Container - VIC BigW Store LAN,Stores,,BigW,,,Australia,,VIC BigW Store LAN /22 Networks,,,Allocated,,,,,,,,,,VIC,LAN,,,
10.151.0.0/16,Container - WA BigW Store LAN,Stores,,BigW,,,Australia,,WA BigW Store LAN /22 Networks,,,Allocated,,,,,,,,,,WA,LAN,,,
10.183.0.0/16,Container - SA/NT BigW Store LAN,Stores,,BigW,,,Australia,,SA/NT BigW Store LAN /22 Networks,,,Allocated,,,,,,,,,,SA,LAN,,,
10.247.0.0/18,Container - TAS BigW Store LAN,Stores,,BigW,,,Australia,,TAS BigW Store LAN /22 Networks,,,Allocated,,,,,,,,,,TAS,LAN,,,
10.199.0.0/16,Adam Diment,,,ALH,,,Australia,,ALH Network Pieter Bloem,,,,,,,,,,,Non Stores,,,WAN,,,
10.0.0.0/16,"Various Functions including WAN, Loopbacks, Cellular for Store and Non-Store sites",,,,,,Australia,,"Various Functions including WAN, Loopbacks, Cellular for Store and Non-Store sites",,,Allocated,,,,,,,,,,ANY,,,,
10.0.64.0/20,Container - NSW Supermarket WAN,Stores,,,,,Australia,,NSW Store WAN,,,Allocated,,,,,,,,,,NSW,WAN,,,
